,crime_id,census_block_geoid,zipcode,region_id,region_name
38122,2959494,420035627002,15212,343638,Allegheny Center
38123,2959495,420035616004,15210,272790,Arlington
38124,2959496,420030901001,15201,276248,Central Lawrenceville
38125,2959497,420032503001,15212,271162,Central Northside
38126,2959498,420031113002,15206,38290,East Liberty
38127,2959500,420031203002,15206,274318,Lincoln-Lemington-Belmar
38128,2959501,420032620001,15212,343628,Spring Hill - City View
38129,2959503,420030402001,15213,271231,West Oakland
38130,2959504,420031918001,15226,208709,Brookline
38131,2959505,420031413003,15217,271220,Squirrel Hill South
38132,2959506,420031306001,15208,,
38133,2959507,420031609002,15203,271217,Southside Flats
38134,2959508,420031803002,15210,272753,Allentown
38135,2959509,420039810001,15201,276248,Central Lawrenceville
38136,2959510,420032509002,15214,343626,Fine View
38137,2959511,420035627001,15212,272749,Allegheny West
38138,2959512,420031410001,15221,271211,Regent Square
38139,2959513,420032814001,15204,343634,Crafton Heights
38140,2959515,420030509001,15219,271154,Bedford Dwellings
38141,2959517,420030103003,15219,276217,Bluff
38142,2959519,420031803002,15210,272753,Allentown
38143,2959522,,,,
38144,2959523,420035619002,15206,274318,Lincoln-Lemington-Belmar
38145,2959524,420030509001,15219,271154,Bedford Dwellings
38146,2959526,420030405002,15213,214069,Oakland
38147,2959529,420032901001,15210,208967,Carrick
38148,2959530,420031914001,15211,213615,Mount Washington
38149,2959531,420031916002,15216,208228,Beechview
38150,2959532,420032607001,15214,271206,Perry North
38151,2959533,420031609001,15203,271217,Southside Flats
38152,2959534,420032815001,15205,343634,Crafton Heights
38153,2959535,420031916003,15216,208228,Beechview
38154,2959536,420031306001,15221,271172,East Hills
38155,2959537,420030708002,15206,54374,Shadyside
38156,2959538,420035632002,15212,271169,East Allegheny
38157,2959539,420031807003,15211,213615,Mount Washington
38158,2959540,420031115001,15206,38290,East Liberty
38159,2959541,420031115004,15206,38290,East Liberty
38160,2959542,420031807002,15211,213615,Mount Washington
38161,2959543,420035632002,15212,271169,East Allegheny
38162,2959549,420030201003,15222,271161,Central Business District
38163,2959550,420032107001,15233,212921,Manchester
38164,2959558,420032406001,15212,216452,Troy Hill
38165,2959565,420031306003,15221,271172,East Hills
38166,2959566,420030510002,15213,271224,Terrace Village
38167,2959567,420030405001,15213,214069,Oakland
38168,2959569,420031920003,15216,208228,Beechview
38169,2959570,420030506003,15219,271226,Upper Hill
38170,2959571,420030201003,15222,271161,Central Business District
38171,2959573,420030201002,15222,271161,Central Business District
38172,2959575,420032107001,15233,212921,Manchester
38173,2959578,420031803002,15210,272753,Allentown
38174,2959579,420030201006,15222,271161,Central Business District
38175,2959582,420031306003,15221,271172,East Hills
38176,2959619,420032708002,15212,271156,Brighton Heights
38177,2959621,420035627001,15233,271165,Chateau
38178,2959625,420032620001,15212,343628,Spring Hill - City View
38179,2959627,420030201001,15222,271161,Central Business District
